# dumped @ 2016-8-8 Mon 21:9:39
W=0x8
H=0x8
C=0x40
#BPE=0x1
Data_type=0x24 #DATA_TYPE_2D_FEATURE_DATA_PACKED
Kernel_num=0x0
Line_stride=0x100
Surface_stride=0x800
#surfaceNum=0x2
#residueChannel=0xf
#lineSizeBytes=0x100
#surfaceSizeBytes=0x800
#cubeNumW=0x8
#cubeNumH=0x8
#cube_w=0x1
#cube_h=0x1
#cube_c=0x10
#cube_fill_zeros=0x1
Precision=INT16
#2D data dump, uncompressed
Data_size=0x2000
0x00 0x20 0x00 0x21 0x00 0x22 0x00 0x23 0x00 0x24 0x00 0x25 0x00 0x26 0x00 0x27 0x00 0x28 0x00 0x29 0x00 0x2a 0x00 0x2b 0x00 0x2c 0x00 0x2d 0x00 0x2e 0x00 0x2f
0x10 0x20 0x10 0x21 0x10 0x22 0x10 0x23 0x10 0x24 0x10 0x25 0x10 0x26 0x10 0x27 0x10 0x28 0x10 0x29 0x10 0x2a 0x10 0x2b 0x10 0x2c 0x10 0x2d 0x10 0x2e 0x10 0x2f
0x20 0x20 0x20 0x21 0x20 0x22 0x20 0x23 0x20 0x24 0x20 0x25 0x20 0x26 0x20 0x27 0x20 0x28 0x20 0x29 0x20 0x2a 0x20 0x2b 0x20 0x2c 0x20 0x2d 0x20 0x2e 0x20 0x2f
0x30 0x20 0x30 0x21 0x30 0x22 0x30 0x23 0x30 0x24 0x30 0x25 0x30 0x26 0x30 0x27 0x30 0x28 0x30 0x29 0x30 0x2a 0x30 0x2b 0x30 0x2c 0x30 0x2d 0x30 0x2e 0x30 0x2f
0x40 0x20 0x40 0x21 0x40 0x22 0x40 0x23 0x40 0x24 0x40 0x25 0x40 0x26 0x40 0x27 0x40 0x28 0x40 0x29 0x40 0x2a 0x40 0x2b 0x40 0x2c 0x40 0x2d 0x40 0x2e 0x40 0x2f
0x50 0x20 0x50 0x21 0x50 0x22 0x50 0x23 0x50 0x24 0x50 0x25 0x50 0x26 0x50 0x27 0x50 0x28 0x50 0x29 0x50 0x2a 0x50 0x2b 0x50 0x2c 0x50 0x2d 0x50 0x2e 0x50 0x2f
0x60 0x20 0x60 0x21 0x60 0x22 0x60 0x23 0x60 0x24 0x60 0x25 0x60 0x26 0x60 0x27 0x60 0x28 0x60 0x29 0x60 0x2a 0x60 0x2b 0x60 0x2c 0x60 0x2d 0x60 0x2e 0x60 0x2f
0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
0x01 0x20 0x01 0x21 0x01 0x22 0x01 0x23 0x01 0x24 0x01 0x25 0x01 0x26 0x01 0x27 0x01 0x28 0x01 0x29 0x01 0x2a 0x01 0x2b 0x01 0x2c 0x01 0x2d 0x01 0x2e 0x01 0x2f
0x11 0x20 0x11 0x21 0x11 0x22 0x11 0x23 0x11 0x24 0x11 0x25 0x11 0x26 0x11 0x27 0x11 0x28 0x11 0x29 0x11 0x2a 0x11 0x2b 0x11 0x2c 0x11 0x2d 0x11 0x2e 0x11 0x2f
